統一編號,總機構統一編號,營業人名稱,營業地址,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,資本額,設立年份,組織別名稱,使用統一發票,是否開立發票,主要行業代號,主要行業名稱
94813260,,銓泰名產,花蓮縣花蓮市主信里０１５鄰中正路４２６號１樓,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,5000.0,1979,獨資,N,0,472921,糖果餅乾零售
87349837,,美果攝影,花蓮縣花蓮市主信里０１５鄰中正路４２６－１號,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,50000.0,2020,獨資,N,0,760199,其他攝影
61335828,54774092,池上飯包股份有限公司花蓮中華店,花蓮縣花蓮市主信里０１５鄰中華路１９１號,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,0.0,2025,其他,Y,1,561112,便當、自助餐店
60249796,,中華水煎包,花蓮縣花蓮市主信里０１５鄰中華路１９３號,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,100000.0,2026,獨資,N,0,561111,早餐店
20064826,,麥德加食品行,花蓮縣花蓮市主信里０１６鄰中正路４１６號１樓,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,8000.0,1997,獨資,N,0,561113,麵店、小吃店
93054254,,美雞商行,花蓮縣花蓮市主信里０１６鄰中正路４１８號１樓,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,200000.0,2024,獨資,N,0,561113,麵店、小吃店
60483125,,確餒有限公司,花蓮縣花蓮市主信里０１８鄰中正路４２９號,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,1000000.0,2025,有限公司,Y,1,561112,便當、自助餐店
82184414,,一起商行,花蓮縣花蓮市主信里０１８鄰中正路４２９號２樓,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,200000.0,2019,獨資,N,0,561112,便當、自助餐店
82159365,,深夜食堂,花蓮縣花蓮市主信里０１８鄰中正路４３９號１樓,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,200000.0,2018,獨資,Y,1,561113,麵店、小吃店
49780284,,親愛的小籠湯包,花蓮縣花蓮市主信里０１９鄰中正路４１７號１樓,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,5000.0,2017,獨資,N,0,561113,麵店、小吃店
95189159,,來買肉肉冷凍食品行,花蓮縣花蓮市主信里０１９鄰中華路１８７號,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,10000.0,2024,獨資,N,0,472311,水產品零售
95174368,,花蓮吳家麵店,花蓮縣花蓮市主信里０１９鄰信義街５２號１樓,花蓮縣,花蓮市,主信里,花蓮市一般行政區,否,否,100000.0,2024,獨資,N,0,561113,麵店、小吃店
