年份,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,有效營利事業累計家數,該年新設立營利事業家數,開立統一發票店家數,發票店家佔比(%),登記資本總額(元),平均資本額(元),代表行業類別,推估年度銷售額(千元)
2017,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,89,4,40,44.94,244328000,2745258,麵店、小吃店,1073044.49
2017,花蓮縣,花蓮市,主權里,一般住宅/非核心商業區,否,否,220,16,117,53.18,368199000,1673631,麵店、小吃店,2742986.43
2017,花蓮縣,花蓮市,主睦里,一般住宅/非核心商業區,否,否,84,4,34,40.48,145120000,1727619,未分類其他家用器具及用品零售,840643.69
2017,花蓮縣,花蓮市,主義里,一般住宅/非核心商業區,否,否,29,1,11,37.93,9366000,322965,梭織服裝訂製,229050.18
2017,花蓮縣,花蓮市,主計里,金三角商圈,是,否,72,3,27,37.5,176633000,2453236,水產品零售,737680.04
2017,花蓮縣,花蓮市,主農里,一般住宅/非核心商業區,否,否,136,7,71,52.21,203294900,1494815,民宿,1641544.41
2017,花蓮縣,花蓮市,國光里,一般住宅/非核心商業區,否,否,83,1,36,43.37,74730000,900361,民宿,799956.81
2017,花蓮縣,花蓮市,國威里,金三角商圈,是,否,163,4,81,49.69,491878000,3017656,麵店、小吃店,2169618.95
2017,花蓮縣,花蓮市,國安里,一般住宅/非核心商業區,否,否,98,10,55,56.12,220819000,2253255,麵店、小吃店,1343951.8
2017,花蓮縣,花蓮市,國富里,一般住宅/非核心商業區,否,否,295,10,140,47.46,371148900,1258131,麵店、小吃店,3202913.49
2017,花蓮縣,花蓮市,國強里,一般住宅/非核心商業區,否,否,64,7,44,68.75,193394000,3021781,其他汽車維修,1094277.68
2017,花蓮縣,花蓮市,國慶里,一般住宅/非核心商業區,否,否,95,5,61,64.21,2568191745,27033597,汽車零件、汽車百貨零售,4143827.52
2017,花蓮縣,花蓮市,國治里,一般住宅/非核心商業區,否,否,115,4,52,45.22,98254400,854386,麵店、小吃店,1144428.1
2017,花蓮縣,花蓮市,國盛里,一般住宅/非核心商業區,否,否,175,14,98,56.0,419603000,2397731,民宿,2424534.67
2017,花蓮縣,花蓮市,國福里,一般住宅/非核心商業區,否,否,33,5,20,60.61,23610000,715454,未分類其他家用器具及用品零售,423970.47
2017,花蓮縣,花蓮市,國聯里,一般住宅/非核心商業區,否,否,336,22,203,60.42,2172852840,6466823,民宿,6511088.51
2017,花蓮縣,花蓮市,國興里,一般住宅/非核心商業區,否,否,139,5,66,47.48,236545800,1701768,麵店、小吃店,1580266.21
2017,花蓮縣,花蓮市,國華里,一般住宅/非核心商業區,否,否,99,7,43,43.43,179236606,1810470,麵店、小吃店,1058259.13
2017,花蓮縣,花蓮市,國裕里,一般住宅/非核心商業區,否,否,270,18,172,63.7,1468199190,5437774,麵店、小吃店,5090990.83
2017,花蓮縣,花蓮市,國防里,一般住宅/非核心商業區,否,否,43,4,23,53.49,98791000,2297465,未分類其他土木工程,569380.61
2017,花蓮縣,花蓮市,國風里,一般住宅/非核心商業區,否,否,175,14,97,55.43,291454800,1665456,民宿,2258335.03
2017,花蓮縣,花蓮市,國魂里,一般住宅/非核心商業區,否,否,125,8,67,53.6,871691300,6973530,麵店、小吃店,2325472.72
